period_date,state_fips,state_name,state_abbrev,unemployment_rate
2018-12-01,21,Kentucky,KY,4.2
2019-01-01,21,Kentucky,KY,4.2
2019-02-01,21,Kentucky,KY,4.2
2019-03-01,21,Kentucky,KY,4.1
2019-04-01,21,Kentucky,KY,4.1
2019-05-01,21,Kentucky,KY,4.1
2019-06-01,21,Kentucky,KY,4.1
2019-07-01,21,Kentucky,KY,4.1
2019-08-01,21,Kentucky,KY,4.1
2019-09-01,21,Kentucky,KY,4.0
2019-10-01,21,Kentucky,KY,4.0
2019-11-01,21,Kentucky,KY,4.0
2019-12-01,21,Kentucky,KY,4.0
2020-01-01,21,Kentucky,KY,4.1
2020-02-01,21,Kentucky,KY,4.1
2020-03-01,21,Kentucky,KY,4.1
2020-04-01,21,Kentucky,KY,16.7
2020-05-01,21,Kentucky,KY,12.8
2020-06-01,21,Kentucky,KY,5.3
2020-07-01,21,Kentucky,KY,5.8
2020-08-01,21,Kentucky,KY,5.2
2020-09-01,21,Kentucky,KY,5.0
2020-10-01,21,Kentucky,KY,4.8
2020-11-01,21,Kentucky,KY,4.8
2020-12-01,21,Kentucky,KY,4.7
2021-01-01,21,Kentucky,KY,4.6
2021-02-01,21,Kentucky,KY,4.6
2021-03-01,21,Kentucky,KY,4.6
2021-04-01,21,Kentucky,KY,4.6
2021-05-01,21,Kentucky,KY,4.6
2021-06-01,21,Kentucky,KY,4.6
2021-07-01,21,Kentucky,KY,4.6
2021-08-01,21,Kentucky,KY,4.5
2021-09-01,21,Kentucky,KY,4.4
2021-10-01,21,Kentucky,KY,4.3
2021-11-01,21,Kentucky,KY,4.2
2021-12-01,21,Kentucky,KY,4.1
2022-01-01,21,Kentucky,KY,4.0
2022-02-01,21,Kentucky,KY,4.0
2022-03-01,21,Kentucky,KY,4.0
2022-04-01,21,Kentucky,KY,4.0
2022-05-01,21,Kentucky,KY,4.0
2022-06-01,21,Kentucky,KY,4.0
2022-07-01,21,Kentucky,KY,4.1
2022-08-01,21,Kentucky,KY,4.1
2022-09-01,21,Kentucky,KY,4.1
2022-10-01,21,Kentucky,KY,4.1
2022-11-01,21,Kentucky,KY,4.1
2022-12-01,21,Kentucky,KY,4.1
2023-01-01,21,Kentucky,KY,4.1
2023-02-01,21,Kentucky,KY,4.1
2023-03-01,21,Kentucky,KY,4.1
2023-04-01,21,Kentucky,KY,4.1
2023-05-01,21,Kentucky,KY,4.2
2023-06-01,21,Kentucky,KY,4.2
2023-07-01,21,Kentucky,KY,4.3
2023-08-01,21,Kentucky,KY,4.4
2023-09-01,21,Kentucky,KY,4.4
2023-10-01,21,Kentucky,KY,4.5
2023-11-01,21,Kentucky,KY,4.5
2023-12-01,21,Kentucky,KY,4.6
2024-01-01,21,Kentucky,KY,4.7
2024-02-01,21,Kentucky,KY,4.7
2024-03-01,21,Kentucky,KY,4.8
2024-04-01,21,Kentucky,KY,4.9
2024-05-01,21,Kentucky,KY,4.9
2024-06-01,21,Kentucky,KY,5.0
2024-07-01,21,Kentucky,KY,5.1
2024-08-01,21,Kentucky,KY,5.2
2024-09-01,21,Kentucky,KY,5.3
2024-10-01,21,Kentucky,KY,5.4
2024-11-01,21,Kentucky,KY,5.4
2024-12-01,21,Kentucky,KY,5.3
2025-01-01,21,Kentucky,KY,5.3
2025-02-01,21,Kentucky,KY,5.3
2025-03-01,21,Kentucky,KY,5.2
2025-04-01,21,Kentucky,KY,5.2
2025-05-01,21,Kentucky,KY,5.0
2025-06-01,21,Kentucky,KY,4.9
2025-07-01,21,Kentucky,KY,4.9
2025-08-01,21,Kentucky,KY,4.7
2025-09-01,21,Kentucky,KY,4.7
2025-10-01,21,Kentucky,KY,.
2025-11-01,21,Kentucky,KY,4.7
2000-01-01,22,Louisiana,LA,4.9
2000-02-01,22,Louisiana,LA,4.9
2000-03-01,22,Louisiana,LA,4.9
2000-04-01,22,Louisiana,LA,5.0
2000-05-01,22,Louisiana,LA,5.0
2000-06-01,22,Louisiana,LA,5.1
2000-07-01,22,Louisiana,LA,5.1
2000-08-01,22,Louisiana,LA,5.2
2000-09-01,22,Louisiana,LA,5.3
2000-10-01,22,Louisiana,LA,5.3
2000-11-01,22,Louisiana,LA,5.4
2000-12-01,22,Louisiana,LA,5.4
2001-01-01,22,Louisiana,LA,5.5
2001-02-01,22,Louisiana,LA,5.5
2001-03-01,22,Louisiana,LA,5.5
2001-04-01,22,Louisiana,LA,5.4
2001-05-01,22,Louisiana,LA,5.3
2001-06-01,22,Louisiana,LA,5.3
2001-07-01,22,Louisiana,LA,5.4
2001-08-01,22,Louisiana,LA,5.5
2001-09-01,22,Louisiana,LA,5.7
2001-10-01,22,Louisiana,LA,5.9
2001-11-01,22,Louisiana,LA,6.0
2001-12-01,22,Louisiana,LA,6.1
2002-01-01,22,Louisiana,LA,6.1
2002-02-01,22,Louisiana,LA,6.1
2002-03-01,22,Louisiana,LA,6.0
2002-04-01,22,Louisiana,LA,6.0
2002-05-01,22,Louisiana,LA,5.9
2002-06-01,22,Louisiana,LA,5.9
2002-07-01,22,Louisiana,LA,5.9
2002-08-01,22,Louisiana,LA,5.9
2002-09-01,22,Louisiana,LA,5.9
2002-10-01,22,Louisiana,LA,5.9
2002-11-01,22,Louisiana,LA,6.0
2002-12-01,22,Louisiana,LA,6.0
2003-01-01,22,Louisiana,LA,6.1
2003-02-01,22,Louisiana,LA,6.2
2003-03-01,22,Louisiana,LA,6.3
2003-04-01,22,Louisiana,LA,6.4
2003-05-01,22,Louisiana,LA,6.5
2003-06-01,22,Louisiana,LA,6.5
2003-07-01,22,Louisiana,LA,6.5
2003-08-01,22,Louisiana,LA,6.4
2003-09-01,22,Louisiana,LA,6.2
2003-10-01,22,Louisiana,LA,6.0
2003-11-01,22,Louisiana,LA,5.9
2003-12-01,22,Louisiana,LA,5.8
2004-01-01,22,Louisiana,LA,5.8
2004-02-01,22,Louisiana,LA,5.8
2004-03-01,22,Louisiana,LA,5.8
2004-04-01,22,Louisiana,LA,5.8
2004-05-01,22,Louisiana,LA,5.8
2004-06-01,22,Louisiana,LA,5.7
2004-07-01,22,Louisiana,LA,5.6
2004-08-01,22,Louisiana,LA,5.6
2004-09-01,22,Louisiana,LA,5.5
2004-10-01,22,Louisiana,LA,5.6
2004-11-01,22,Louisiana,LA,5.6
2004-12-01,22,Louisiana,LA,5.6
2005-01-01,22,Louisiana,LA,5.6
2005-02-01,22,Louisiana,LA,5.5
2005-03-01,22,Louisiana,LA,5.5
2005-04-01,22,Louisiana,LA,5.4
2005-05-01,22,Louisiana,LA,5.4
2005-06-01,22,Louisiana,LA,5.4
2005-07-01,22,Louisiana,LA,5.3
2005-08-01,22,Louisiana,LA,5.3
2005-09-01,22,Louisiana,LA,11.7
2005-10-01,22,Louisiana,LA,11.5
2005-11-01,22,Louisiana,LA,11.6
2005-12-01,22,Louisiana,LA,6.4
2006-01-01,22,Louisiana,LA,4.6
2006-02-01,22,Louisiana,LA,4.4
2006-03-01,22,Louisiana,LA,4.3
2006-04-01,22,Louisiana,LA,4.1
2006-05-01,22,Louisiana,LA,4.1
2006-06-01,22,Louisiana,LA,4.0
2006-07-01,22,Louisiana,LA,4.0
2006-08-01,22,Louisiana,LA,4.0
2006-09-01,22,Louisiana,LA,4.0
2006-10-01,22,Louisiana,LA,4.0
2006-11-01,22,Louisiana,LA,4.1
2006-12-01,22,Louisiana,LA,4.1
2007-01-01,22,Louisiana,LA,4.1
2007-02-01,22,Louisiana,LA,4.1
2007-03-01,22,Louisiana,LA,4.2
2007-04-01,22,Louisiana,LA,4.2
2007-05-01,22,Louisiana,LA,4.2
2007-06-01,22,Louisiana,LA,4.1
2007-07-01,22,Louisiana,LA,4.1
2007-08-01,22,Louisiana,LA,4.0
2007-09-01,22,Louisiana,LA,4.0
2007-10-01,22,Louisiana,LA,4.0
2007-11-01,22,Louisiana,LA,4.0
2007-12-01,22,Louisiana,LA,4.0
2008-01-01,22,Louisiana,LA,4.1
2008-02-01,22,Louisiana,LA,4.1
2008-03-01,22,Louisiana,LA,4.1
2008-04-01,22,Louisiana,LA,4.2
2008-05-01,22,Louisiana,LA,4.2
2008-06-01,22,Louisiana,LA,4.4
2008-07-01,22,Louisiana,LA,4.6
2008-08-01,22,Louisiana,LA,4.8
2008-09-01,22,Louisiana,LA,5.0
2008-10-01,22,Louisiana,LA,5.3
2008-11-01,22,Louisiana,LA,5.5
2008-12-01,22,Louisiana,LA,5.7
2009-01-01,22,Louisiana,LA,6.0
2009-02-01,22,Louisiana,LA,6.2
2009-03-01,22,Louisiana,LA,6.5
2009-04-01,22,Louisiana,LA,6.7
2009-05-01,22,Louisiana,LA,6.8
2009-06-01,22,Louisiana,LA,6.8
2009-07-01,22,Louisiana,LA,6.9
2009-08-01,22,Louisiana,LA,6.9
2009-09-01,22,Louisiana,LA,6.9
2009-10-01,22,Louisiana,LA,6.9
2009-11-01,22,Louisiana,LA,6.9
2009-12-01,22,Louisiana,LA,7.0
2010-01-01,22,Louisiana,LA,7.0
2010-02-01,22,Louisiana,LA,7.1
2010-03-01,22,Louisiana,LA,7.2
2010-04-01,22,Louisiana,LA,7.2
2010-05-01,22,Louisiana,LA,7.3
2010-06-01,22,Louisiana,LA,7.4
2010-07-01,22,Louisiana,LA,7.5
2010-08-01,22,Louisiana,LA,7.6
2010-09-01,22,Louisiana,LA,7.7
2010-10-01,22,Louisiana,LA,7.7
2010-11-01,22,Louisiana,LA,7.8
2010-12-01,22,Louisiana,LA,7.7
2011-01-01,22,Louisiana,LA,7.7
2011-02-01,22,Louisiana,LA,7.6
2011-03-01,22,Louisiana,LA,7.5
2011-04-01,22,Louisiana,LA,7.4
2011-05-01,22,Louisiana,LA,7.3
2011-06-01,22,Louisiana,LA,7.3
2011-07-01,22,Louisiana,LA,7.3
2011-08-01,22,Louisiana,LA,7.3
2011-09-01,22,Louisiana,LA,7.2
2011-10-01,22,Louisiana,LA,7.2
2011-11-01,22,Louisiana,LA,7.2
2011-12-01,22,Louisiana,LA,7.1
2012-01-01,22,Louisiana,LA,7.1
2012-02-01,22,Louisiana,LA,7.0
2012-03-01,22,Louisiana,LA,7.0
2012-04-01,22,Louisiana,LA,6.9
2012-05-01,22,Louisiana,LA,6.9
2012-06-01,22,Louisiana,LA,6.8
2012-07-01,22,Louisiana,LA,6.7
2012-08-01,22,Louisiana,LA,6.5
2012-09-01,22,Louisiana,LA,6.4
2012-10-01,22,Louisiana,LA,6.4
2012-11-01,22,Louisiana,LA,6.4
2012-12-01,22,Louisiana,LA,6.5
2013-01-01,22,Louisiana,LA,6.6
2013-02-01,22,Louisiana,LA,6.7
2013-03-01,22,Louisiana,LA,6.8
2013-04-01,22,Louisiana,LA,6.7
2013-05-01,22,Louisiana,LA,6.6
2013-06-01,22,Louisiana,LA,6.6
2013-07-01,22,Louisiana,LA,6.5
2013-08-01,22,Louisiana,LA,6.3
2013-09-01,22,Louisiana,LA,6.2
2013-10-01,22,Louisiana,LA,6.0
2013-11-01,22,Louisiana,LA,5.8
2013-12-01,22,Louisiana,LA,5.7
2014-01-01,22,Louisiana,LA,5.6
2014-02-01,22,Louisiana,LA,5.6
2014-03-01,22,Louisiana,LA,5.6
2014-04-01,22,Louisiana,LA,5.8
2014-05-01,22,Louisiana,LA,6.0
2014-06-01,22,Louisiana,LA,6.2
2014-07-01,22,Louisiana,LA,6.4
2014-08-01,22,Louisiana,LA,6.6
2014-09-01,22,Louisiana,LA,6.7
2014-10-01,22,Louisiana,LA,6.8
2014-11-01,22,Louisiana,LA,6.8
2014-12-01,22,Louisiana,LA,6.8
2015-01-01,22,Louisiana,LA,6.7
2015-02-01,22,Louisiana,LA,6.7
2015-03-01,22,Louisiana,LA,6.6
2015-04-01,22,Louisiana,LA,6.5
2015-05-01,22,Louisiana,LA,6.4
2015-06-01,22,Louisiana,LA,6.2
2015-07-01,22,Louisiana,LA,6.1
2015-08-01,22,Louisiana,LA,6.0
2015-09-01,22,Louisiana,LA,6.000
2015-10-01,22,Louisiana,LA,6.0
2015-11-01,22,Louisiana,LA,6.0
2015-12-01,22,Louisiana,LA,6.0
2016-01-01,22,Louisiana,LA,6.0
2016-02-01,22,Louisiana,LA,6.0
2016-03-01,22,Louisiana,LA,6.0
2016-04-01,22,Louisiana,LA,6.1
2016-05-01,22,Louisiana,LA,6.1
2016-06-01,22,Louisiana,LA,6.1
2016-07-01,22,Louisiana,LA,6.1
2016-08-01,22,Louisiana,LA,6.1
2016-09-01,22,Louisiana,LA,6.1
2016-10-01,22,Louisiana,LA,6.0
2016-11-01,22,Louisiana,LA,6.0
2016-12-01,22,Louisiana,LA,5.9
2017-01-01,22,Louisiana,LA,5.8
2017-02-01,22,Louisiana,LA,5.7
2017-03-01,22,Louisiana,LA,5.5
2017-04-01,22,Louisiana,LA,5.4
2017-05-01,22,Louisiana,LA,5.2
2017-06-01,22,Louisiana,LA,5.1
2017-07-01,22,Louisiana,LA,5.0
2017-08-01,22,Louisiana,LA,4.9
2017-09-01,22,Louisiana,LA,4.8
2017-10-01,22,Louisiana,LA,4.7
2017-11-01,22,Louisiana,LA,4.7
2017-12-01,22,Louisiana,LA,4.7
2018-01-01,22,Louisiana,LA,4.7
2018-02-01,22,Louisiana,LA,4.7
2018-03-01,22,Louisiana,LA,4.8
2018-04-01,22,Louisiana,LA,4.9
2018-05-01,22,Louisiana,LA,4.9
2018-06-01,22,Louisiana,LA,4.9
2018-07-01,22,Louisiana,LA,4.9
2018-08-01,22,Louisiana,LA,4.9
2018-09-01,22,Louisiana,LA,4.8
2018-10-01,22,Louisiana,LA,4.8
2018-11-01,22,Louisiana,LA,4.8
2018-12-01,22,Louisiana,LA,4.8
2019-01-01,22,Louisiana,LA,4.7
2019-02-01,22,Louisiana,LA,4.6
2019-03-01,22,Louisiana,LA,4.5
2019-04-01,22,Louisiana,LA,4.4
2019-05-01,22,Louisiana,LA,4.4
2019-06-01,22,Louisiana,LA,4.5
2019-07-01,22,Louisiana,LA,4.6
2019-08-01,22,Louisiana,LA,4.7
2019-09-01,22,Louisiana,LA,4.8
2019-10-01,22,Louisiana,LA,4.8
2019-11-01,22,Louisiana,LA,4.8
2019-12-01,22,Louisiana,LA,4.8
2020-01-01,22,Louisiana,LA,4.7
2020-02-01,22,Louisiana,LA,4.7
2020-03-01,22,Louisiana,LA,6.7
2020-04-01,22,Louisiana,LA,13.5
2020-05-01,22,Louisiana,LA,12.3
2020-06-01,22,Louisiana,LA,11.0
2020-07-01,22,Louisiana,LA,10.4
2020-08-01,22,Louisiana,LA,9.2
2020-09-01,22,Louisiana,LA,8.7
2020-10-01,22,Louisiana,LA,8.0
2020-11-01,22,Louisiana,LA,7.6
2020-12-01,22,Louisiana,LA,7.4
2021-01-01,22,Louisiana,LA,7.0
2021-02-01,22,Louisiana,LA,6.8
2021-03-01,22,Louisiana,LA,6.6
2021-04-01,22,Louisiana,LA,6.4
2021-05-01,22,Louisiana,LA,6.2
2021-06-01,22,Louisiana,LA,6.0
2021-07-01,22,Louisiana,LA,5.6
2021-08-01,22,Louisiana,LA,5.2
2021-09-01,22,Louisiana,LA,4.8
2021-10-01,22,Louisiana,LA,4.5
2021-11-01,22,Louisiana,LA,4.2
2021-12-01,22,Louisiana,LA,4.0
2022-01-01,22,Louisiana,LA,3.9
2022-02-01,22,Louisiana,LA,3.8
2022-03-01,22,Louisiana,LA,3.7
2022-04-01,22,Louisiana,LA,3.7
2022-05-01,22,Louisiana,LA,3.7
2022-06-01,22,Louisiana,LA,3.6
2022-07-01,22,Louisiana,LA,3.6
2022-08-01,22,Louisiana,LA,3.6
2022-09-01,22,Louisiana,LA,3.6
2022-10-01,22,Louisiana,LA,3.6
2022-11-01,22,Louisiana,LA,3.6
2022-12-01,22,Louisiana,LA,3.6
2023-01-01,22,Louisiana,LA,3.6
2023-02-01,22,Louisiana,LA,3.6
2023-03-01,22,Louisiana,LA,3.6
2023-04-01,22,Louisiana,LA,3.5
2023-05-01,22,Louisiana,LA,3.5
2023-06-01,22,Louisiana,LA,3.5
2023-07-01,22,Louisiana,LA,3.6
2023-08-01,22,Louisiana,LA,3.7
2023-09-01,22,Louisiana,LA,3.8
2023-10-01,22,Louisiana,LA,4.0
2023-11-01,22,Louisiana,LA,4.1
2023-12-01,22,Louisiana,LA,4.2
2024-01-01,22,Louisiana,LA,4.2
2024-02-01,22,Louisiana,LA,4.2
2024-03-01,22,Louisiana,LA,4.1
2024-04-01,22,Louisiana,LA,4.1
2024-05-01,22,Louisiana,LA,4.1
2024-06-01,22,Louisiana,LA,4.2
2024-07-01,22,Louisiana,LA,4.3
2024-08-01,22,Louisiana,LA,4.5
2024-09-01,22,Louisiana,LA,4.6
2024-10-01,22,Louisiana,LA,4.6
2024-11-01,22,Louisiana,LA,4.6
2024-12-01,22,Louisiana,LA,4.6
2025-01-01,22,Louisiana,LA,4.5
2025-02-01,22,Louisiana,LA,4.4
2025-03-01,22,Louisiana,LA,4.4
2025-04-01,22,Louisiana,LA,4.4
2025-05-01,22,Louisiana,LA,4.5
2025-06-01,22,Louisiana,LA,4.5
2025-07-01,22,Louisiana,LA,4.5
2025-08-01,22,Louisiana,LA,4.4
2025-09-01,22,Louisiana,LA,4.4
2025-10-01,22,Louisiana,LA,.
2025-11-01,22,Louisiana,LA,4.3
2000-01-01,23,Maine,ME,3.7
2000-02-01,23,Maine,ME,3.5
2000-03-01,23,Maine,ME,3.4
2000-04-01,23,Maine,ME,3.3
2000-05-01,23,Maine,ME,3.300
2000-06-01,23,Maine,ME,3.300
2000-07-01,23,Maine,ME,3.2
2000-08-01,23,Maine,ME,3.2
2000-09-01,23,Maine,ME,3.2
2000-10-01,23,Maine,ME,3.2
2000-11-01,23,Maine,ME,3.200
2000-12-01,23,Maine,ME,3.2
2001-01-01,23,Maine,ME,3.2
2001-02-01,23,Maine,ME,3.3
2001-03-01,23,Maine,ME,3.5
2001-04-01,23,Maine,ME,3.6
2001-05-01,23,Maine,ME,3.7
2001-06-01,23,Maine,ME,3.8
2001-07-01,23,Maine,ME,3.8
2001-08-01,23,Maine,ME,3.9
2001-09-01,23,Maine,ME,4.0
2001-10-01,23,Maine,ME,4.0
2001-11-01,23,Maine,ME,4.100
2001-12-01,23,Maine,ME,4.1
2002-01-01,23,Maine,ME,4.2
2002-02-01,23,Maine,ME,4.2
2002-03-01,23,Maine,ME,4.3
2002-04-01,23,Maine,ME,4.3
2002-05-01,23,Maine,ME,4.4
2002-06-01,23,Maine,ME,4.4
2002-07-01,23,Maine,ME,4.4
2002-08-01,23,Maine,ME,4.4
2002-09-01,23,Maine,ME,4.5
2002-10-01,23,Maine,ME,4.6
2002-11-01,23,Maine,ME,4.7
2002-12-01,23,Maine,ME,4.8
2003-01-01,23,Maine,ME,4.9
2003-02-01,23,Maine,ME,5.1
2003-03-01,23,Maine,ME,5.1
2003-04-01,23,Maine,ME,5.2
2003-05-01,23,Maine,ME,5.2
2003-06-01,23,Maine,ME,5.2
2003-07-01,23,Maine,ME,5.2
2003-08-01,23,Maine,ME,5.2
2003-09-01,23,Maine,ME,5.1
2003-10-01,23,Maine,ME,5.1
2003-11-01,23,Maine,ME,5.0
2003-12-01,23,Maine,ME,4.900
2004-01-01,23,Maine,ME,4.800
2004-02-01,23,Maine,ME,4.8
2004-03-01,23,Maine,ME,4.7
2004-04-01,23,Maine,ME,4.600
2004-05-01,23,Maine,ME,4.6
2004-06-01,23,Maine,ME,4.6
2004-07-01,23,Maine,ME,4.6
2004-08-01,23,Maine,ME,4.600
2004-09-01,23,Maine,ME,4.600
2004-10-01,23,Maine,ME,4.6
2004-11-01,23,Maine,ME,4.7
2004-12-01,23,Maine,ME,4.8
2005-01-01,23,Maine,ME,4.8
2005-02-01,23,Maine,ME,4.900
2005-03-01,23,Maine,ME,4.9
2005-04-01,23,Maine,ME,4.9
2005-05-01,23,Maine,ME,4.9
2005-06-01,23,Maine,ME,4.9
2005-07-01,23,Maine,ME,4.900
2005-08-01,23,Maine,ME,4.900
2005-09-01,23,Maine,ME,4.9
2005-10-01,23,Maine,ME,4.9
2005-11-01,23,Maine,ME,4.9
2005-12-01,23,Maine,ME,4.8
2006-01-01,23,Maine,ME,4.7
2006-02-01,23,Maine,ME,4.6
2006-03-01,23,Maine,ME,4.6
2006-04-01,23,Maine,ME,4.6
2006-05-01,23,Maine,ME,4.6
2006-06-01,23,Maine,ME,4.7
2006-07-01,23,Maine,ME,4.8
2006-08-01,23,Maine,ME,4.8
2006-09-01,23,Maine,ME,4.8
2006-10-01,23,Maine,ME,4.8
2006-11-01,23,Maine,ME,4.8
2006-12-01,23,Maine,ME,4.7
2007-01-01,23,Maine,ME,4.6
2007-02-01,23,Maine,ME,4.6
2007-03-01,23,Maine,ME,4.6
2007-04-01,23,Maine,ME,4.6
2007-05-01,23,Maine,ME,4.600
2007-06-01,23,Maine,ME,4.700
2007-07-01,23,Maine,ME,4.8
2007-08-01,23,Maine,ME,4.800
2007-09-01,23,Maine,ME,4.8
2007-10-01,23,Maine,ME,4.8
2007-11-01,23,Maine,ME,4.8
2007-12-01,23,Maine,ME,4.7
2008-01-01,23,Maine,ME,4.7
2008-02-01,23,Maine,ME,4.7
2008-03-01,23,Maine,ME,4.7
2008-04-01,23,Maine,ME,4.8
2008-05-01,23,Maine,ME,4.9
2008-06-01,23,Maine,ME,5.1
2008-07-01,23,Maine,ME,5.3
2008-08-01,23,Maine,ME,5.5
2008-09-01,23,Maine,ME,5.7
2008-10-01,23,Maine,ME,6.1
2008-11-01,23,Maine,ME,6.5
2008-12-01,23,Maine,ME,6.9
2009-01-01,23,Maine,ME,7.4
2009-02-01,23,Maine,ME,7.9
2009-03-01,23,Maine,ME,8.2
2009-04-01,23,Maine,ME,8.4
2009-05-01,23,Maine,ME,8.4
2009-06-01,23,Maine,ME,8.5
2009-07-01,23,Maine,ME,8.4
2009-08-01,23,Maine,ME,8.4
2009-09-01,23,Maine,ME,8.4
2009-10-01,23,Maine,ME,8.5
2009-11-01,23,Maine,ME,8.5
2009-12-01,23,Maine,ME,8.6
2010-01-01,23,Maine,ME,8.7
2010-02-01,23,Maine,ME,8.6
2010-03-01,23,Maine,ME,8.6
2010-04-01,23,Maine,ME,8.5
2010-05-01,23,Maine,ME,8.4
2010-06-01,23,Maine,ME,8.3
2010-07-01,23,Maine,ME,8.2
2010-08-01,23,Maine,ME,8.2
2010-09-01,23,Maine,ME,8.2
2010-10-01,23,Maine,ME,8.2
2010-11-01,23,Maine,ME,8.2
2010-12-01,23,Maine,ME,8.100
2011-01-01,23,Maine,ME,8.1
2011-02-01,23,Maine,ME,8.0
2011-03-01,23,Maine,ME,7.9
2011-04-01,23,Maine,ME,7.9
2011-05-01,23,Maine,ME,7.9
2011-06-01,23,Maine,ME,7.8
2011-07-01,23,Maine,ME,7.8
2011-08-01,23,Maine,ME,7.7
2011-09-01,23,Maine,ME,7.7
2011-10-01,23,Maine,ME,7.6
2011-11-01,23,Maine,ME,7.5
2011-12-01,23,Maine,ME,7.4
2012-01-01,23,Maine,ME,7.3
2012-02-01,23,Maine,ME,7.2
2012-03-01,23,Maine,ME,7.2
2012-04-01,23,Maine,ME,7.2
2012-05-01,23,Maine,ME,7.3
2012-06-01,23,Maine,ME,7.3
2012-07-01,23,Maine,ME,7.3
2012-08-01,23,Maine,ME,7.2
2012-09-01,23,Maine,ME,7.2
2012-10-01,23,Maine,ME,7.1
2012-11-01,23,Maine,ME,7.1
2012-12-01,23,Maine,ME,7.1
2013-01-01,23,Maine,ME,7.100
2013-02-01,23,Maine,ME,7.0
2013-03-01,23,Maine,ME,7.0
2013-04-01,23,Maine,ME,6.9
2013-05-01,23,Maine,ME,6.8
2013-06-01,23,Maine,ME,6.7
2013-07-01,23,Maine,ME,6.7
2013-08-01,23,Maine,ME,6.6
2013-09-01,23,Maine,ME,6.5
2013-10-01,23,Maine,ME,6.4
2013-11-01,23,Maine,ME,6.3
2013-12-01,23,Maine,ME,6.2
2014-01-01,23,Maine,ME,6.1
2014-02-01,23,Maine,ME,6.0
2014-03-01,23,Maine,ME,5.9
2014-04-01,23,Maine,ME,5.8
2014-05-01,23,Maine,ME,5.7
2014-06-01,23,Maine,ME,5.6
2014-07-01,23,Maine,ME,5.5
2014-08-01,23,Maine,ME,5.4
2014-09-01,23,Maine,ME,5.3
2014-10-01,23,Maine,ME,5.3
2014-11-01,23,Maine,ME,5.2
2014-12-01,23,Maine,ME,5.1
2015-01-01,23,Maine,ME,4.9
2015-02-01,23,Maine,ME,4.8
2015-03-01,23,Maine,ME,4.7
2015-04-01,23,Maine,ME,4.6
2015-05-01,23,Maine,ME,4.5
2015-06-01,23,Maine,ME,4.4
2015-07-01,23,Maine,ME,4.3
2015-08-01,23,Maine,ME,4.2
2015-09-01,23,Maine,ME,4.1
2015-10-01,23,Maine,ME,4.1
2015-11-01,23,Maine,ME,4.1
2015-12-01,23,Maine,ME,4.0
2016-01-01,23,Maine,ME,4.0
2016-02-01,23,Maine,ME,4.0
2016-03-01,23,Maine,ME,3.9
2016-04-01,23,Maine,ME,3.9
2016-05-01,23,Maine,ME,3.8
2016-06-01,23,Maine,ME,3.8
2016-07-01,23,Maine,ME,3.8
2016-08-01,23,Maine,ME,3.7
2016-09-01,23,Maine,ME,3.7
2016-10-01,23,Maine,ME,3.7
2016-11-01,23,Maine,ME,3.6
2016-12-01,23,Maine,ME,3.6
2017-01-01,23,Maine,ME,3.5
2017-02-01,23,Maine,ME,3.5
2017-03-01,23,Maine,ME,3.5
2017-04-01,23,Maine,ME,3.4
2017-05-01,23,Maine,ME,3.4
2017-06-01,23,Maine,ME,3.4
2017-07-01,23,Maine,ME,3.4
2017-08-01,23,Maine,ME,3.4
2017-09-01,23,Maine,ME,3.4
2017-10-01,23,Maine,ME,3.3
2017-11-01,23,Maine,ME,3.2
2017-12-01,23,Maine,ME,3.1
2018-01-01,23,Maine,ME,3.1
2018-02-01,23,Maine,ME,3.0
2018-03-01,23,Maine,ME,3.0
2018-04-01,23,Maine,ME,3.0
2018-05-01,23,Maine,ME,3.1
2018-06-01,23,Maine,ME,3.2
2018-07-01,23,Maine,ME,3.3
2018-08-01,23,Maine,ME,3.3
2018-09-01,23,Maine,ME,3.3
2018-10-01,23,Maine,ME,3.3
2018-11-01,23,Maine,ME,3.3
2018-12-01,23,Maine,ME,3.2
2019-01-01,23,Maine,ME,3.1
2019-02-01,23,Maine,ME,3.0
2019-03-01,23,Maine,ME,2.9
2019-04-01,23,Maine,ME,2.8
2019-05-01,23,Maine,ME,2.7
2019-06-01,23,Maine,ME,2.7
2019-07-01,23,Maine,ME,2.8
2019-08-01,23,Maine,ME,2.8
2019-09-01,23,Maine,ME,2.9
2019-10-01,23,Maine,ME,3.0
2019-11-01,23,Maine,ME,3.0
2019-12-01,23,Maine,ME,3.1
2020-01-01,23,Maine,ME,3.2
2020-02-01,23,Maine,ME,3.2
2020-03-01,23,Maine,ME,3.2
2020-04-01,23,Maine,ME,9.3
2020-05-01,23,Maine,ME,9.5
2020-06-01,23,Maine,ME,6.6
2020-07-01,23,Maine,ME,6.3
2020-08-01,23,Maine,ME,4.2
2020-09-01,23,Maine,ME,4.0
2020-10-01,23,Maine,ME,3.8
2020-11-01,23,Maine,ME,3.9
2020-12-01,23,Maine,ME,4.2
2021-01-01,23,Maine,ME,4.4
2021-02-01,23,Maine,ME,4.8
2021-03-01,23,Maine,ME,5.0
2021-04-01,23,Maine,ME,5.2
2021-05-01,23,Maine,ME,5.1
2021-06-01,23,Maine,ME,5.2
2021-07-01,23,Maine,ME,5.0
2021-08-01,23,Maine,ME,4.9
2021-09-01,23,Maine,ME,4.6
2021-10-01,23,Maine,ME,4.5
2021-11-01,23,Maine,ME,4.2
2021-12-01,23,Maine,ME,3.9
